tile,scale,entropy,lap_var,grad_energy,blockiness,aliasing,noise_ratio
n03063689_n03063689_21338_75_0_0_100_0_0.png,100,7.29,351.8,7.23,1.38,0.24,0.28
n02006656_n02006656_1844_100_0_1_100_0_0.png,100,7.58,234.8,5.31,1.21,0.20,0.24
n02486261_n02486261_1009_75_0_0_100_0_0.png,100,7.52,468.7,6.26,1.35,0.33,0.31
n02110627_n02110627_2734_75_0_0_100_0_0.png,100,7.18,539.3,7.48,1.60,0.31,0.36
n07717410_n07717410_2783_75_0_0_100_0_0.png,100,7.18,466.6,6.13,1.38,0.33,0.36
n09288635_n09288635_1647_100_5_8_100_0_0.png,100,7.25,781.8,8.57,2.05,0.40,0.44
n04235860_n04235860_1282_75_0_0_100_0_0.png,100,6.34,635.0,5.05,1.18,0.44,0.53
n02110806_n02110806_863_100_0_0_100_0_0.png,100,7.10,704.2,6.88,1.55,0.35,0.31
n03220513_n03220513_25015_100_1_2_100_0_0.png,100,7.11,307.4,5.84,1.44,0.27,0.29
n04465501_n04465501_5713_75_2_5_100_0_0.png,100,6.57,168.6,5.69,1.00,0.18,0.23
n01742172_n01742172_10369_75_1_6_100_0_0.png,100,7.15,428.4,10.04,1.98,0.21,0.31
n04389033_n04389033_45564_50_1_3_100_0_0.png,100,7.40,290.5,6.96,1.40,0.25,0.24
n01943899_n01943899_30018_100_0_0_100_0_0.png,100,6.75,479.4,6.93,2.08,0.30,0.45
n02493509_n02493509_8357_100_1_1_100_0_0.png,100,6.96,107.3,5.67,1.25,0.19,0.21
n02174001_n02174001_3475_50_1_1_100_0_0.png,100,7.48,129.9,5.30,1.05,0.29,0.19
n02128757_n02128757_20206_100_2_1_100_0_0.png,100,6.93,747.7,8.13,1.89,0.30,0.41
n07920052_n07920052_17824_75_0_0_100_0_0.png,100,7.56,311.3,5.84,1.09,0.27,0.28
n04330267_n04330267_1488_75_0_1_100_0_0.png,100,7.58,174.1,5.45,0.92,0.19,0.23
n01632777_n01632777_13138_75_0_0_100_0_0.png,100,6.73,390.4,7.04,1.40,0.25,0.34
n02113023_n02113023_6285_75_0_0_100_0_0.png,100,7.33,929.7,5.92,1.86,0.43,0.54
n02134418_n02134418_6240_100_0_0_100_0_0.png,100,7.38,689.2,7.19,1.77,0.35,0.45
n02106550_n02106550_2018_100_0_1_100_0_0.png,100,6.60,175.0,5.21,1.45,0.23,0.33
n01774384_n01774384_3866_75_0_0_100_0_0.png,100,6.93,190.0,6.11,1.13,0.18,0.22
n10565667_n10565667_342_100_4_4_100_0_0.png,100,7.22,239.5,5.48,1.23,0.28,0.31
n01632777_n01632777_8376_75_0_0_100_0_0.png,100,7.26,404.9,6.05,1.35,0.30,0.40
n02233338_n02233338_9829_75_0_0_100_0_0.png,100,7.75,380.3,5.51,1.14,0.30,0.31
n02442845_n02442845_22593_100_1_1_100_0_0.png,100,7.45,592.6,9.14,2.30,0.25,0.36
n03476684_n03476684_9131_100_1_4_100_0_0.png,100,6.33,324.0,7.34,1.55,0.39,0.36
n01443537_n01443537_16678_75_0_0_100_0_0.png,100,6.91,127.7,6.04,1.13,0.20,0.21
n07768694_n07768694_6469_100_0_0_100_0_0.png,100,7.73,200.8,7.00,1.32,0.22,0.20
n02123597_n02123597_4911_50_0_1_100_0_0.png,100,6.81,194.9,6.18,1.22,0.21,0.35
n02109047_n02109047_26356_100_2_1_100_0_0.png,100,6.61,288.2,7.79,2.22,0.25,0.29
n01773549_n01773549_6065_100_5_7_100_0_0.png,100,6.69,202.5,6.43,1.23,0.20,0.22
n02105641_n02105641_14640_75_0_0_100_0_0.png,100,7.60,938.2,8.76,2.11,0.38,0.48
n09193705_n09193705_90_100_0_0_100_0_0.png,100,6.44,191.5,5.93,1.61,0.18,0.22
n03016953_n03016953_3_100_0_0_100_0_0.png,100,6.81,399.5,5.77,1.37,0.25,0.34
n03584254_n03584254_1413_100_0_0_100_0_0.png,100,6.28,470.5,6.41,1.55,0.23,0.33
n02108422_n02108422_1371_100_0_3_100_0_0.png,100,7.37,234.2,6.00,1.18,0.23,0.22
n02790996_n02790996_8563_100_0_0_100_0_0.png,100,7.28,224.2,7.28,1.39,0.19,0.15
n03467068_n03467068_1972_75_0_0_100_0_0.png,100,6.49,432.9,6.06,1.43,0.44,0.49
n01774384_n01774384_2812_100_0_0_100_0_0.png,100,7.69,795.5,6.37,1.94,0.41,0.58
n02817516_n02817516_40098_100_0_0_100_0_0.png,100,6.86,901.1,6.78,1.63,0.38,0.48
n03944341_n03944341_10394_100_0_0_100_0_0.png,100,6.97,752.5,6.02,1.33,0.40,0.45
n02939185_n02939185_3563_100_0_0_100_0_0.png,100,6.71,1096.6,5.29,1.83,0.42,0.58
n02105056_n02105056_3392_100_1_1_100_0_0.png,100,6.64,290.0,5.81,1.58,0.24,0.38
n01667778_n01667778_13150_100_1_2_100_0_0.png,100,6.95,365.5,10.78,2.41,0.21,0.27
n03777568_n03777568_17767_75_0_0_100_0_0.png,100,5.81,446.4,5.02,1.06,0.26,0.35
n02088094_n02088094_13704_100_0_0_100_0_0.png,100,7.24,1066.2,7.80,2.08,0.42,0.56
n01847000_n01847000_13813_100_0_0_100_0_0.png,100,6.05,960.0,6.13,2.01,0.53,0.60
n02510455_n02510455_14365_75_0_0_100_0_0.png,100,7.57,448.7,7.75,1.49,0.24,0.25
n01669191_n01669191_7321_75_0_0_100_0_0.png,100,7.38,528.2,7.86,1.63,0.29,0.33
n02692877_n02692877_26723_75_1_0_100_0_0.png,100,6.53,813.5,6.61,1.70,0.40,0.56
n02009229_n02009229_492_75_0_0_100_0_0.png,100,6.47,601.8,6.31,1.45,0.40,0.48
n02106550_n02106550_2755_100_1_1_100_0_0.png,100,7.10,951.5,7.14,1.88,0.39,0.57
n04456115_n04456115_5771_75_3_0_100_0_0.png,100,6.56,435.0,7.17,1.55,0.35,0.44
n02114367_n02114367_5376_100_0_0_100_0_0.png,100,7.23,687.6,8.06,1.92,0.26,0.35
n01751748_n01751748_3381_75_3_0_100_0_0.png,100,6.43,122.9,7.17,1.31,0.21,0.20
n03764736_n03764736_8619_100_3_2_100_0_0.png,100,7.37,227.1,5.49,1.24,0.21,0.21
n04149813_n04149813_9076_100_0_1_100_0_0.png,100,7.24,129.5,7.60,1.55,0.17,0.13
n03404251_n03404251_5177_75_0_0_100_0_0.png,100,6.87,279.0,5.67,1.14,0.25,0.28
n02971356_n02971356_40140_50_0_0_100_0_0.png,100,7.46,447.7,5.29,0.92,0.30,0.32
n03594945_n03594945_15799_100_0_0_100_0_0.png,100,7.72,609.2,6.12,1.43,0.33,0.41
n01749939_n01749939_8954_50_1_1_100_0_0.png,100,6.67,443.5,5.66,1.21,0.25,0.32
n13054560_n13054560_12524_75_0_0_100_0_0.png,100,7.44,409.9,6.86,1.39,0.27,0.31
n01855672_n01855672_8437_50_0_0_100_0_0.png,100,7.54,720.3,7.74,1.70,0.37,0.41
n01729322_n01729322_5143_50_1_2_100_0_0.png,100,7.47,404.6,7.04,1.60,0.34,0.29
n03661043_n03661043_3115_100_0_2_100_0_0.png,100,6.82,438.1,5.68,1.41,0.27,0.36
n03496892_n03496892_269_50_0_0_100_0_0.png,100,5.73,951.1,6.19,1.49,0.39,0.52
n04009552_n04009552_4600_100_0_0_100_0_0.png,100,7.33,327.6,5.30,1.11,0.30,0.32
n01756291_n01756291_12505_100_6_5_100_0_0.png,100,6.88,120.3,6.49,1.22,0.21,0.22
n01860187_n01860187_3574_100_3_5_100_0_0.png,100,6.81,384.2,6.17,1.45,0.33,0.41
n02113186_n02113186_8336_100_0_2_100_0_0.png,100,7.12,389.4,7.65,1.92,0.22,0.25
n01614925_n01614925_6684_100_1_1_100_0_0.png,100,6.43,500.7,5.29,1.32,0.25,0.31
n01753488_n01753488_8615_75_0_1_100_0_0.png,100,7.44,319.7,6.41,1.21,0.27,0.27
n03208938_n03208938_23021_75_0_0_100_0_0.png,100,5.77,352.3,6.27,1.24,0.24,0.25
n02423022_n02423022_8297_50_1_1_100_0_0.png,100,7.26,311.3,8.03,1.74,0.24,0.27
n01728920_n01728920_593_100_0_0_100_0_0.png,100,7.59,335.7,6.34,1.28,0.29,0.26
n02105412_n02105412_6631_100_0_1_100_0_0.png,100,7.47,210.7,7.64,1.87,0.19,0.22
n03207941_n03207941_10875_100_0_0_100_0_0.png,100,7.36,373.7,8.89,1.85,0.25,0.17
n04273569_n04273569_14562_75_0_0_100_0_0.png,100,7.35,583.2,7.29,1.54,0.29,0.35
n04536866_n04536866_3479_75_2_3_100_0_0.png,100,7.72,224.0,6.85,1.29,0.19,0.21
n02643566_n02643566_3164_100_0_0_100_0_0.png,100,6.37,603.2,5.82,1.41,0.36,0.54
n02133161_n02133161_941_100_4_7_100_0_0.png,100,6.35,180.8,8.81,1.82,0.18,0.20
n02536864_n02536864_20292_75_0_0_100_0_0.png,100,5.65,734.7,6.77,1.53,0.34,0.38
n02107312_n02107312_4444_100_0_1_100_0_0.png,100,7.46,157.3,5.04,1.05,0.18,0.18
n02106382_n02106382_2797_100_1_1_100_0_0.png,100,7.35,402.9,6.43,1.81,0.27,0.31
n02100735_n02100735_2937_75_1_1_100_0_0.png,100,7.31,442.5,6.27,1.48,0.38,0.39
n01984695_n01984695_41520_100_2_1_100_0_0.png,100,5.93,237.6,5.27,1.07,0.15,0.18
n03788195_n03788195_37058_100_5_4_100_0_0.png,100,6.34,622.9,8.09,1.90,0.30,0.38
n02666196_n02666196_11243_75_0_0_100_0_0.png,100,7.34,385.5,6.75,1.53,0.30,0.40
n03796401_n03796401_2693_100_3_3_100_0_0.png,100,7.03,182.5,5.32,1.08,0.30,0.26
n07716358_n07716358_32992_75_3_4_100_0_0.png,100,6.29,752.7,7.88,1.98,0.42,0.59
n02102040_n02102040_4990_100_0_0_100_0_0.png,100,7.28,911.4,9.79,3.26,0.34,0.44
n02790996_n02790996_11680_75_0_0_100_0_0.png,100,7.45,496.1,5.02,0.90,0.30,0.35
n01990800_n01990800_1796_50_1_2_100_0_0.png,100,7.76,165.0,5.66,1.10,0.25,0.23
n03481172_n03481172_3860_75_0_0_100_0_0.png,100,6.93,497.8,5.70,1.37,0.38,0.40
n07718472_n07718472_18277_75_0_0_100_0_0.png,100,7.43,552.4,5.49,1.08,0.31,0.33
n02100236_n02100236_8870_75_2_8_100_0_0.png,100,6.63,255.3,8.06,1.59,0.22,0.28
n03995372_n03995372_5811_100_0_0_100_0_0.png,100,7.47,310.4,6.00,1.05,0.22,0.21
n02640242_n02640242_6424_100_1_0_100_0_0.png,100,7.62,250.5,6.73,1.68,0.22,0.30
n07730033_n07730033_1282_100_0_0_100_0_0.png,100,7.19,210.8,5.48,1.51,0.24,0.31
n01806567_n01806567_21271_75_3_2_100_0_0.png,100,7.54,247.0,8.21,1.54,0.22,0.17
n03661043_n03661043_8929_100_2_1_100_0_0.png,100,7.44,380.8,8.57,1.81,0.22,0.25
n02112350_n02112350_2059_100_0_0_100_0_0.png,100,7.62,335.4,5.17,1.23,0.37,0.37
n04429376_n04429376_4167_50_4_1_100_0_0.png,100,6.61,420.3,5.51,1.16,0.32,0.38
n04252077_n04252077_7108_75_0_0_100_0_0.png,100,7.06,450.8,5.41,1.02,0.26,0.30
n02092339_n02092339_2304_75_0_0_100_0_0.png,100,7.67,244.1,5.63,1.13,0.25,0.28
n07613480_n07613480_19795_50_1_0_100_0_0.png,100,6.92,261.4,5.34,1.13,0.31,0.30
n02110806_n02110806_9166_75_1_1_100_0_0.png,100,7.46,288.2,5.80,1.25,0.26,0.35
n01688243_n01688243_9170_100_0_0_100_0_0.png,100,7.42,647.5,8.28,1.94,0.27,0.41
n03445924_n03445924_7595_75_0_5_100_0_0.png,100,6.75,155.2,5.00,1.02,0.19,0.25
n02134418_n02134418_13651_75_0_1_100_0_0.png,100,7.44,238.0,5.22,1.16,0.32,0.35
n02115641_n02115641_4575_100_0_2_100_0_0.png,100,7.35,564.4,7.86,1.69,0.32,0.38
n04033901_n04033901_14061_100_3_4_100_0_0.png,100,5.76,443.4,6.09,1.49,0.41,0.53
n02101006_n02101006_147_100_0_0_100_0_0.png,100,7.56,246.7,5.21,1.21,0.23,0.26
n02115913_n02115913_12932_100_0_0_100_0_0.png,100,7.42,148.9,7.25,1.33,0.24,0.17
n01955084_n01955084_3152_100_0_0_100_0_0.png,100,7.22,402.9,5.14,1.21,0.40,0.38
n02112350_n02112350_1813_75_0_0_100_0_0.png,100,7.50,988.4,9.06,2.19,0.39,0.44
n02101006_n02101006_5526_100_0_0_100_0_0.png,100,6.94,173.0,9.12,2.02,0.18,0.20
n02105412_n02105412_2490_100_0_0_100_0_0.png,100,7.75,760.7,6.96,1.76,0.42,0.56
n07695742_n07695742_11821_100_2_8_100_0_0.png,100,7.84,343.7,8.71,1.84,0.26,0.27
n03742115_n03742115_9804_75_0_0_100_0_0.png,100,7.10,288.3,5.36,0.97,0.27,0.34
n02091244_n02091244_1629_100_0_0_100_0_0.png,100,7.08,551.4,5.31,1.38,0.27,0.36
n02486261_n02486261_3307_100_0_1_100_0_0.png,100,7.52,632.0,8.71,2.11,0.29,0.40
n03770439_n03770439_12593_50_0_0_100_0_0.png,100,6.95,371.5,5.76,1.21,0.32,0.33
n03599486_n03599486_7278_100_1_4_100_0_0.png,100,7.05,222.4,7.27,1.21,0.14,0.16
n02112706_n02112706_2169_100_0_0_100_0_0.png,100,7.30,488.2,6.43,1.82,0.30,0.58
n04152593_n04152593_37748_75_0_0_100_0_0.png,100,6.86,528.3,6.00,1.15,0.27,0.33
n03895866_n03895866_30196_100_0_2_100_0_0.png,100,7.08,118.8,5.67,1.08,0.16,0.13
n03220513_n03220513_3535_75_2_0_100_0_0.png,100,6.34,288.7,5.86,1.14,0.25,0.35
n01773549_n01773549_2968_50_1_1_100_0_0.png,100,7.21,502.4,8.44,1.66,0.23,0.30
n07836838_n07836838_4807_100_0_0_100_0_0.png,100,6.76,126.3,5.45,1.03,0.19,0.20
n04152593_n04152593_8827_100_0_1_100_0_0.png,100,6.32,461.6,5.01,1.12,0.32,0.45
n02892767_n02892767_32525_75_0_0_100_0_0.png,100,7.36,481.1,5.91,1.23,0.35,0.38
n01944390_n01944390_3632_100_0_0_100_0_0.png,100,7.26,446.6,5.81,1.43,0.31,0.42
n02087394_n02087394_5588_50_0_0_100_0_0.png,100,6.78,583.0,8.28,1.80,0.32,0.38
n02655020_n02655020_5941_75_0_0_100_0_0.png,100,7.34,861.8,6.16,1.68,0.46,0.60
n02058221_n02058221_3555_75_0_1_100_0_0.png,100,7.61,247.9,7.74,1.49,0.23,0.20
n02099712_n02099712_545_100_1_3_100_0_0.png,100,7.34,100.1,5.86,1.13,0.16,0.19
n02138441_n02138441_2548_75_0_0_100_0_0.png,100,7.56,428.2,6.17,1.11,0.39,0.33
n04049303_n04049303_526_100_1_0_100_0_0.png,100,7.20,326.4,5.54,1.52,0.26,0.27
n02817516_n02817516_63332_75_1_0_100_0_0.png,100,6.50,903.6,7.25,1.91,0.45,0.56
n01776313_n01776313_29462_100_0_0_100_0_0.png,100,6.85,433.4,8.24,1.71,0.28,0.32
n02797295_n02797295_9681_50_0_0_100_0_0.png,100,6.40,622.6,8.03,1.93,0.42,0.47
n03259280_n03259280_4266_75_1_2_100_0_0.png,100,7.63,209.6,5.37,1.18,0.31,0.33
n03223299_n03223299_17206_75_4_5_100_0_0.png,100,6.65,457.1,8.76,1.88,0.24,0.41
n03956157_n03956157_4245_100_1_2_100_0_0.png,100,6.92,732.4,6.30,1.43,0.32,0.41
n07718472_n07718472_3133_75_0_0_100_0_0.png,100,7.36,611.7,5.22,1.00,0.33,0.35
n04482393_n04482393_3799_100_0_0_100_0_0.png,100,7.33,400.1,7.36,1.58,0.25,0.25
n04548280_n04548280_7210_75_4_0_100_0_0.png,100,7.03,317.2,6.07,1.24,0.21,0.24
n03538406_n03538406_9353_100_1_0_100_0_0.png,100,7.03,381.7,5.38,1.32,0.26,0.36
n01694178_n01694178_2179_100_1_3_100_0_0.png,100,7.06,171.2,6.76,1.40,0.22,0.23
n02168699_n02168699_2001_75_0_2_100_0_0.png,100,6.34,185.1,5.55,1.03,0.17,0.20
n02786058_n02786058_9768_75_0_0_100_0_0.png,100,7.55,261.3,5.31,1.01,0.24,0.27
n02492035_n02492035_895_75_0_5_100_0_0.png,100,7.05,369.1,5.04,1.36,0.42,0.39
n03956157_n03956157_33351_100_0_1_100_0_0.png,100,7.47,609.0,5.59,1.52,0.39,0.50
n02074367_n02074367_15261_100_0_0_100_0_0.png,100,7.37,584.1,5.33,1.40,0.43,0.58
n07718472_n07718472_32125_100_0_0_100_0_0.png,100,7.25,638.9,7.99,2.12,0.27,0.38
n02264363_n02264363_14812_25_0_0_100_0_0.png,100,6.61,649.0,6.05,1.40,0.38,0.43
n01675722_n01675722_3842_75_1_2_100_0_0.png,100,7.37,142.2,6.36,1.13,0.20,0.17
n03063599_n03063599_4142_100_0_0_100_0_0.png,100,7.64,379.1,5.55,1.24,0.31,0.35
n04141327_n04141327_2081_75_1_0_100_0_0.png,100,6.57,485.5,9.06,1.92,0.30,0.40
n07760859_n07760859_10672_100_9_3_100_0_0.png,100,6.58,610.9,6.55,1.65,0.48,0.58
n03452741_n03452741_177_100_2_1_100_0_0.png,100,6.95,294.3,5.04,1.34,0.31,0.38
n01669191_n01669191_1203_100_0_0_100_0_0.png,100,6.73,324.1,5.74,1.19,0.27,0.34
n02111129_n02111129_6191_75_0_0_100_0_0.png,100,7.47,510.0,6.23,1.40,0.35,0.35
n01537544_n01537544_2931_100_0_0_100_0_0.png,100,7.26,872.5,5.59,1.32,0.43,0.47
n02190166_n02190166_1208_100_1_1_100_0_0.png,100,6.84,686.3,6.92,1.82,0.30,0.43
n02483362_n02483362_9960_75_0_0_100_0_0.png,100,6.56,326.2,5.67,1.11,0.27,0.30
n03045698_n03045698_5458_100_0_0_100_0_0.png,100,7.35,175.8,7.08,1.56,0.15,0.17
n03388043_n03388043_6743_75_1_3_100_0_0.png,100,7.06,315.8,10.75,2.01,0.18,0.23
n03018349_n03018349_4252_75_0_0_100_0_0.png,100,6.87,574.7,5.92,1.11,0.34,0.48
n04152593_n04152593_11747_100_0_0_100_0_0.png,100,7.41,279.5,5.02,0.99,0.18,0.25
n04389033_n04389033_16988_100_2_3_100_0_0.png,100,6.88,628.5,6.90,1.70,0.32,0.44
n01798484_n01798484_13397_100_5_8_100_0_0.png,100,7.53,126.6,9.54,2.04,0.16,0.13
n04200800_n04200800_30287_100_0_0_100_0_0.png,100,7.41,480.8,5.58,1.05,0.31,0.33
n02484975_n02484975_7750_100_3_4_100_0_0.png,100,7.47,635.0,7.57,1.85,0.30,0.47
n07932039_n07932039_3871_75_0_0_100_0_0.png,100,6.51,235.6,5.45,0.92,0.18,0.25
n02106166_n02106166_3773_50_0_0_100_0_0.png,100,7.42,393.4,6.86,1.46,0.29,0.33
n02870880_n02870880_2450_100_1_0_100_0_0.png,100,7.04,307.6,5.12,1.01,0.21,0.26
n03496892_n03496892_255_75_1_4_100_0_0.png,100,6.81,249.1,6.12,0.92,0.20,0.18
n03673027_n03673027_23408_50_0_0_100_0_0.png,100,7.31,613.7,7.75,1.72,0.34,0.40
n07871810_n07871810_3625_100_1_2_100_0_0.png,100,7.04,483.2,5.40,1.59,0.39,0.47
n02098286_n02098286_5538_75_0_0_100_0_0.png,100,7.68,388.3,6.98,1.47,0.28,0.33
n02113978_n02113978_10254_100_0_3_100_0_0.png,100,7.09,115.6,6.56,1.41,0.17,0.19
n04235860_n04235860_564_75_0_0_100_0_0.png,100,7.45,691.3,5.61,1.68,0.44,0.41
n02102973_n02102973_6678_75_3_3_100_0_0.png,100,6.45,400.4,8.56,1.84,0.25,0.31
n06785654_n06785654_16047_75_0_0_100_0_0.png,100,7.38,657.9,5.63,1.19,0.34,0.40
n02799071_n02799071_11990_100_0_0_100_0_0.png,100,6.56,478.9,6.67,1.46,0.30,0.37
n03478589_n03478589_14709_100_1_7_100_0_0.png,100,6.08,305.9,5.92,1.44,0.29,0.38
n02776631_n02776631_7444_75_0_2_100_0_0.png,100,6.76,514.4,5.94,1.38,0.34,0.42
n03661043_n03661043_15789_100_1_4_100_0_0.png,100,7.40,165.7,6.60,1.16,0.17,0.18
n01737021_n01737021_9826_100_0_10_100_0_0.png,100,7.43,258.5,8.30,1.84,0.22,0.22
n07831146_n07831146_3188_75_0_0_100_0_0.png,100,7.17,338.3,6.16,1.25,0.32,0.33
n02484975_n02484975_1375_50_1_0_100_0_0.png,100,7.55,281.0,5.16,1.23,0.36,0.39
n02168699_n02168699_6794_75_0_0_100_0_0.png,100,7.20,713.3,5.37,1.18,0.40,0.49
n12267677_n12267677_16046_75_0_1_100_0_0.png,100,7.30,360.3,6.35,1.35,0.26,0.27
n12057211_n12057211_1770_100_0_0_100_0_0.png,100,7.49,247.2,6.46,1.27,0.18,0.24
n04041544_n04041544_726_75_0_0_100_0_0.png,100,7.55,805.2,6.80,1.75,0.42,0.42
n02641379_n02641379_27524_50_2_2_100_0_0.png,100,7.20,125.6,5.21,0.96,0.17,0.21
n09193705_n09193705_1744_100_2_1_100_0_0.png,100,6.13,491.2,6.48,1.59,0.41,0.57
n02909870_n02909870_28532_50_0_0_100_0_0.png,100,6.77,623.3,5.93,1.42,0.32,0.34
n01847000_n01847000_8881_100_1_0_100_0_0.png,100,6.39,102.4,5.74,1.46,0.19,0.22
n01728920_n01728920_1796_75_0_0_100_0_0.png,100,7.43,285.2,5.05,1.06,0.29,0.26
n04591713_n04591713_2473_100_0_0_100_0_0.png,100,7.62,287.2,5.20,1.25,0.25,0.29
n01632458_n01632458_2537_75_0_0_100_0_0.png,100,7.39,836.2,6.75,1.63,0.37,0.40
n02281787_n02281787_1499_75_1_0_100_0_0.png,100,7.65,464.0,7.47,1.74,0.31,0.35
n01534433_n01534433_1547_75_0_0_100_0_0.png,100,7.32,243.8,5.52,1.16,0.28,0.28
n02776631_n02776631_71902_75_0_0_100_0_0.png,100,6.99,197.4,5.24,1.05,0.26,0.26
n03290653_n03290653_1000_100_1_2_100_0_0.png,100,7.48,380.9,5.97,1.08,0.24,0.27
n01774384_n01774384_4094_100_0_0_100_0_0.png,100,6.38,879.4,7.12,1.92,0.49,0.58
n01685808_n01685808_184_100_0_0_100_0_0.png,100,6.26,274.3,5.60,1.43,0.29,0.32
n01728920_n01728920_704_100_5_11_100_0_0.png,100,7.13,143.3,7.04,1.36,0.25,0.19
n03967562_n03967562_867_100_0_0_100_0_0.png,100,7.19,330.4,7.27,1.72,0.23,0.28
n09256479_n09256479_5658_75_3_2_100_0_0.png,100,7.11,168.8,6.08,1.21,0.25,0.23
n04392985_n04392985_1507_75_1_0_100_0_0.png,100,6.49,304.4,5.11,1.03,0.20,0.27
n01675722_n01675722_1082_100_0_1_100_0_0.png,100,6.86,866.4,9.73,2.56,0.37,0.47
n02056570_n02056570_2109_75_2_2_100_0_0.png,100,7.05,115.4,6.90,1.25,0.17,0.19
n02930766_n02930766_1828_75_1_0_100_0_0.png,100,6.92,340.4,5.28,1.01,0.26,0.35
n13044778_n13044778_7212_75_2_1_100_0_0.png,100,7.21,156.4,5.19,0.93,0.20,0.20
n02091032_n02091032_143_75_0_0_100_0_0.png,100,6.82,410.5,5.76,1.35,0.34,0.36
n03661043_n03661043_14777_100_1_2_100_0_0.png,100,7.56,419.4,5.93,1.24,0.24,0.30
n03495258_n03495258_26957_75_0_0_100_0_0.png,100,7.28,173.7,7.00,1.22,0.17,0.19
n04067472_n04067472_6287_100_6_6_100_0_0.png,100,7.69,245.5,8.54,1.57,0.18,0.15
n02099849_n02099849_780_100_0_0_100_0_0.png,100,7.59,901.0,7.12,1.90,0.41,0.48
n03291819_n03291819_16287_75_0_0_100_0_0.png,100,7.42,164.6,5.74,0.99,0.18,0.21
n13054560_n13054560_12524_100_0_0_100_0_0.png,100,7.59,560.6,8.04,1.79,0.29,0.36
n03131574_n03131574_18635_25_0_0_100_0_0.png,100,7.18,409.1,5.02,1.02,0.36,0.43
n07715103_n07715103_11540_100_0_0_100_0_0.png,100,6.95,224.4,5.50,1.19,0.29,0.34
n07579787_n07579787_3128_75_1_0_100_0_0.png,100,7.29,338.3,5.80,1.17,0.28,0.27
n02113186_n02113186_246_75_1_0_100_0_0.png,100,7.03,485.5,6.20,1.39,0.39,0.51
n03095699_n03095699_4428_100_6_10_100_0_0.png,100,6.73,295.4,5.70,0.96,0.24,0.30
n02114855_n02114855_6705_100_0_1_100_0_0.png,100,7.30,103.0,5.04,1.19,0.20,0.26
n03544143_n03544143_14784_50_0_0_100_0_0.png,100,6.48,404.1,5.18,0.94,0.30,0.27
n03124170_n03124170_13910_75_0_0_100_0_0.png,100,7.33,301.3,5.11,0.98,0.24,0.29
n07695742_n07695742_2935_75_0_1_100_0_0.png,100,7.37,303.9,6.97,1.24,0.23,0.23
n03661043_n03661043_10518_100_1_1_100_0_0.png,100,7.38,191.1,8.16,1.48,0.14,0.18
n04606251_n04606251_9609_75_0_0_100_0_0.png,100,7.29,453.8,5.43,1.17,0.34,0.41
n02100583_n02100583_10085_50_1_2_100_0_0.png,100,6.76,206.8,5.85,1.17,0.29,0.29
n01860187_n01860187_6290_100_0_3_100_0_0.png,100,6.74,289.3,5.63,1.23,0.23,0.34
n02165456_n02165456_7293_75_0_0_100_0_0.png,100,7.73,496.2,6.32,1.24,0.32,0.36
n02101388_n02101388_4739_100_0_1_100_0_0.png,100,7.11,456.9,7.16,1.90,0.31,0.44
n01855672_n01855672_1069_75_0_0_100_0_0.png,100,7.46,841.3,8.19,1.84,0.38,0.44
n01592084_n01592084_7662_75_0_0_100_0_0.png,100,7.59,436.4,7.52,1.44,0.28,0.24
n04482393_n04482393_12714_100_11_5_100_0_0.png,100,7.50,322.5,5.90,1.41,0.25,0.30
